INV_ID,INV_NO,ANC_NUM,INV_CATL_NO,CATL_MODELE,MARQ,DATE_INSPECTION,CE_NO,ELEMENT,CATEGORIE,COULEUR,MATERIAU,CONDITION,INTERVENTION,EMPL_X,EMPL_Y,EMPL_Z,TERRITOIRE,STATUT,BASE,ANCRAGE,PARC,AIRE,EMPL_ID,ORDRE_AFFICHAGE,LONG,LAT
1685922,INV-1685922,SMU-263270,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-11,61,Support vélo SUV,Support vélo,,,,,296028.595,5043467.676,0,25;,Actif,NON,,,,1703695,2,-73.612299,45.53107
1685923,INV-1685923,SMU-263179,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-09,61,Support vélo SUV,Support vélo,,,,,300136.946,5046100.436,0,25;,Actif,NON,,,,1703696,2,-73.559726,45.554801
1685924,INV-1685924,SMU-263138,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-09,61,Support vélo SUV,Support vélo,,,,,297675.481,5046743.138,0,26;,Actif,NON,,,,1703697,2,-73.591262,45.560563
1685925,INV-1685925,SMU-263135,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-09,61,Support vélo SUV,Support vélo,,,,,297853.585,5047035.109,0,26;,Actif,NON,,,,1703698,2,-73.588985,45.563192
1685926,INV-1685926,SMU-263136,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-09,61,Support vélo SUV,Support vélo,,,,,297803.062,5046952.184,0,26;,Actif,NON,,,,1703699,2,-73.589631,45.562445
1685927,INV-1685927,SMU-263143,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-09,61,Support vélo SUV,Support vélo,,,,,297165.56,5045914.516,0,26;,Actif,NON,,,,1703700,2,-73.597781,45.553101
1685928,INV-1685928,SMU-263144,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-09,61,Support vélo SUV,Support vélo,,,,,297041.247,5045709.141,0,26;,Actif,NON,,,,1703701,2,-73.59937,45.551252
1685929,INV-1685929,SMU-263147,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-09,61,Support vélo SUV,Support vélo,,,,,296918.924,5045504.325,0,26;,Actif,NON,,,,1703702,2,-73.600934,45.549408
1685930,INV-1685930,SMU-263149,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-09,61,Support vélo SUV,Support vélo,,,,,296847.723,5045386.364,0,26;,Actif,NON,,,,1703703,2,-73.601843,45.548345
1685931,INV-1685931,SMU-263155,1195,Modèle à valider,Support à bicyclettes à valider,2009-03-09,61,Support vélo SUV,Support vélo,,,,,296997.281,5044023.5,0,25;,Actif,NON,,,,1703704,2,-73.599906,45.536083
